"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/FXVillesBloodVFXPack/Materials/MAT_BloodClip_Master.MAT_BloodClip_Master","0","24","3","1","77.501328","0","78"
"/Game/Character/Materials/Guard_02.Guard_02","0","24","4","1","36.976887","0","171"
"/Game/Assets/Materials/M_Trim.M_Trim","0","42","14","2","106.085007","0","186"
"/Game/Assets/Materials/M_Dome.M_Dome","0","63","12","3","77.510773","0","245"
"/Game/Assets/Materials/M_FloorTiles1.M_FloorTiles1","0","84","13","4","190.315872","0","349"
"/Game/Assets/Materials/M_FloorTiles2.M_FloorTiles2","0","84","17","4","199.994476","0","303"
"/Game/Assets/Materials/M_Arch.M_Arch","0","42","12","2","104.296509","0","168"
"/Game/Assets/Materials/M_Water.M_Water","0","42","9","2","50.224182","0","156"
"/Game/Assets/Materials/M_Pillar.M_Pillar","0","42","11","2","119.604431","0","165"
"/Game/Assets/Materials/M_BackgroundMatte.M_BackgroundMatte","0","47","10","1","173.290558","47","624"
"/Game/ParagonMinions/FX/Materials/Water/M_WateDroplets_Simple.M_WateDroplets_Simple","0","240","2","2","542.721985","0","3417"
"/Game/ParagonMinions/Characters/Minions/Dusk_Minions/Materials/Shared/M_Minion_Dusk_Parent.M_Minion_Dusk_Parent","0","136","13","2","541.403198","136","2594"
"/Game/ParagonMinions/Characters/Minions/Down_Minions/Materials/Shared/M_Dawn_Minion_MASTER.M_Dawn_Minion_MASTER","0","136","10","2","292.834412","136","2584"
"/Game/ParagonMinions/FX/Materials/Trails/M_PrimaryTrails.M_PrimaryTrails","0","48","8","1","138.983917","48","641"
"/Game/ParagonMinions/FX/Materials/Sparks/M_Spark_VelocityLerp1.M_Spark_VelocityLerp1","0","24","2","1","36.273190","0","106"
"/Game/ParagonMinions/FX/Materials/Sparks/M_hardSpark_Alpha_Cheap.M_hardSpark_Alpha_Cheap","0","32","4","1","43.458569","0","127"
"/Game/ParagonMinions/FX/Materials/Sparks/M_hardSpark_Alpha.M_hardSpark_Alpha","0","32","6","1","44.021126","0","162"
"/Game/ParagonMinions/FX/Materials/Shockwaves/M_TravelModeLooping2.M_TravelModeLooping2","0","20","1","1","27.997263","0","72"
"/Game/ParagonMinions/FX/Materials/Shockwaves/M_SteelImpactRefraction.M_SteelImpactRefraction","0","128","2","1","315.157562","0","1592"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_GreatBlade/M_Blade_GreatBlade.M_Blade_GreatBlade","0","24","4","1","64.996399","0","86"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","0","84","1","0.000000","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_FissureBlade/M_Blade_FissureBlade.M_Blade_FissureBlade","0","24","2","1","59.255764","0","116"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_DragonSword/M_Blade_DragonSword.M_Blade_DragonSword","0","24","3","1","60.635117","0","103"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","0","24","1","0.000000","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_Glimmer/M_Blade_Glimmer.M_Blade_Glimmer","0","24","5","1","59.075359","0","93"
"/Game/Assets/Materials/Soul_Tree011M.Soul_Tree011M","0","47","8","1","104.833122","0","316"
"/Game/Assets/Materials/M_StoneBrickWall.M_StoneBrickWall","0","21","2","1","55.239025","0","81"
"/Game/Assets/Materials/M_WaveFoam.M_WaveFoam","0","8","8","1","21.192566","0","9"
"/Game/Assets/Materials/M_Statue.M_Statue","0","21","4","1","65.842857","0","102"
"/Game/Assets/Materials/M_Stairs.M_Stairs","0","21","7","1","57.940506","0","79"
"/Game/Assets/Materials/M_Shield.M_Shield","0","21","6","1","57.714661","0","79"
"/Game/Assets/Materials/M_Rocks.M_Rocks","0","21","2","1","58.509712","0","79"
"/Game/Assets/Materials/M_Railing.M_Railing","0","21","3","1","54.993500","0","82"
"/Game/Assets/Materials/M_FirePit.M_FirePit","0","21","6","1","59.113739","0","84"
"/Game/Assets/Materials/M_Fire.M_Fire","0","15","2","1","36.549271","0","44"
"/Game/Assets/Materials/M_Soul_Rocks2.M_Soul_Rocks2","0","21","2","1","60.541348","0","99"
"/Game/Assets/Materials/M_Tree_Branches.M_Tree_Branches","0","47","8","1","88.777031","0","307"
"/Game/Assets/Materials/M_TreeTrunk01.M_TreeTrunk01","0","21","8","1","49.268814","0","73"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","0","0","21","1","0.000000","0","0"
"/Game/Assets/Materials/M_VolumetricLightSphere.M_VolumetricLightSphere","0","8","2","1","15.648156","0","22"
"/Game/Assets/Materials/M_Sun.M_Sun","0","2","2","1","3.445145","0","2"
"/Game/Assets/Materials/M_StoneCeiling.M_StoneCeiling","0","21","7","1","48.861980","0","78"
"/Game/Assets/Materials/M_Godray.M_Godray","0","37","3","1","91.543907","0","180"
"/Game/Assets/Materials/M_BottomTrim.M_BottomTrim","0","21","2","1","50.896725","0","93"
"/Game/Assets/Textures/M_Sky.M_Sky","0","2","2","1","3.717315","0","2"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","21","1","0.000000","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Fire/M_JaggedRockFire_MeshEmit_Lit.M_JaggedRockFire_MeshEmit_Lit","0","48","5","1","100.686401","0","340"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","30","1","0.000000","0","0"
"/Game/ParagonMinions/FX/Materials/Sparks/M_Hotdog_VLerp_DirectionTint.M_Hotdog_VLerp_DirectionTint","0","45","3","1","78.831482","0","306"
"/Game/ParagonMinions/FX/Materials/Smoke/M_InvisSmoke_MasterAdditiveWarp_Emissive.M_InvisSmoke_MasterAdditiveWarp_Emissive","0","107","3","1","250.869568","0","1292"
"/Game/MultistoryDungeons/Materials/Props_02.Props_02","0","21","9","1","46.955158","0","87"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_Master.M_Add_Sprite_Master","0","32","6","1","53.258797","0","171"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_Master_DepthFade.M_Add_Sprite_Master_DepthFade","0","32","4","1","43.696709","0","128"
"/Game/Assets/Materials/M_Pickup_Coin.M_Pickup_Coin","0","12","3","1","20.685814","0","30"
"/Game/InfinityBladeAdversaries/Enemy/Enemy_Great_Spider/Materials/CharM_Greater_Spider.CharM_Greater_Spider","0","24","6","1","37.358051","0","94"
"/Game/ParagonMinions/FX/Materials/Liquid/M_Minion_Liquid_Mesh.M_Minion_Liquid_Mesh","0","66","6","1","78.566200","0","494"
"/Game/ParagonMinions/FX/Materials/Flares/M_Lensflare_TB_Soft_LDR2HDR.M_Lensflare_TB_Soft_LDR2HDR","0","40","4","1","58.251873","0","185"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
